iter	Passed	Remaining
174	401	1893
175	402	1886
176	404	1879
177	405	1874
178	409	1878
179	410	1871
180	412	1865
181	413	1857
182	414	1849
183	415	1842
184	416	1834
185	417	1827
186	418	1820
187	419	1813
188	420	1806
189	423	1803
190	424	1797
191	425	1790
192	426	1784
193	428	1778
194	429	1771
195	430	1764
196	431	1757
197	432	1750
198	433	1746
199	434	1739
200	436	1734
201	438	1732
202	439	1725
203	440	1719
204	441	1713
205	442	1706
206	443	1700
207	444	1694
208	445	1687
209	447	1682
210	448	1678
211	449	1672
212	453	1674
213	454	1669
214	455	1663
215	456	1658
216	458	1652
217	459	1647
218	460	1642
219	461	1637
220	462	1631
221	463	1625
222	465	1620
223	466	1617
224	468	1612
225	469	1609
226	471	1604
227	472	1598
228	473	1593
229	474	1587
230	475	1582
231	476	1577
232	477	1571
233	478	1566
234	481	1567
235	482	1562
236	483	1557
237	484	1551
238	485	1546
239	487	1542
240	488	1538
241	489	1532
242	490	1528
243	491	1522
244	492	1517
245	493	1512
246	496	1514
247	497	1509
248	498	1504
249	499	1499
250	500	1494
251	502	1490
252	503	1486
253	504	1482
254	505	1478
255	506	1473
256	508	1468
257	509	1463
258	510	1461
259	512	1457
260	513	1453
261	514	1448
262	515	1444
263	516	1439
264	517	1435
265	518	1430
266	519	1426
267	520	1421
268	521	1417
269	522	1413
270	526	1415
271	527	1410
272	528	1406
273	529	1402
274	530	1398
275	531	1394
276	532	1390
277	533	1385
278	534	1381
279	535	1377
280	536	1373
281	537	1369
282	541	1371
283	542	1367
284	543	1364
285	544	1360
286	546	1356
287	547	1353
288	548	1349
289	549	1345
290	550	1341
291	551	1337
292	552	1333
293	555	1332
294	556	1329
295	557	1326
296	559	1323
297	560	1320
298	561	1317
299	562	1313
300	563	1309
301	564	1305
302	566	1302
303	567	1298
304	569	1298
305	571	1296
306	572	1292
307	573	1288
308	574	1284
309	575	1281
310	576	1278
311	577	1274
312	579	1270
313	580	1267
314	581	1263
315	582	1260
316	585	1262
317	587	1259
318	588	1256
319	589	1252
320	590	1248
321	591	1245
322	592	1241
323	593	1238
324	594	1235
325	595	1231
326	596	1228
327	600	1229
328	601	1226
329	602	1223
330	603	1219
331	604	1216
332	605	1212
333	606	1209
334	607	1205
335	608	1202
336	609	1198
337	610	1195
338	611	1192
339	614	1193
340	615	1190
341	616	1186
342	617	1183
343	618	1180
344	619	1176
345	620	1173
346	621	1170
347	622	1166
348	623	1163
349	624	1159
350	625	1156
351	626	1153
352	629	1154
353	630	1151
354	631	1147
355	632	1144
356	633	1141
357	634	1138
358	635	1134
359	636	1131
360	637	1128
361	638	1125
362	639	1122
363	640	1119
364	641	1116
365	644	1116
366	645	1113
367	647	1112
368	648	1109
369	649	1106
370	651	1103
371	652	1101
372	653	1098
373	654	1095
374	655	1093
375	657	1091
376	659	1089
377	660	1086
378	661	1083
379	662	1080
380	663	1078
381	664	1075
382	665	1072
383	666	1069
384	667	1067
385	668	1064
386	669	1061
387	670	1058
388	673	1058
389	674	1055
390	675	1052
391	677	1050
392	678	1047
393	679	1044
394	680	1041
395	681	1039
396	682	1036
397	683	1034
398	684	1031
399	685	1028
400	688	1028
401	689	1025
402	690	1022
403	691	1020
404	692	1017
405	693	1014
406	694	1011
407	695	1008
408	696	1006
409	697	1003
410	698	1000
411	699	997
412	700	995
413	703	995
414	704	992
415	705	989
416	706	987
417	707	984
418	708	981
419	709	979
420	710	976
421	710	973
422	712	971
423	713	968
424	714	966
425	715	963
426	718	963
427	719	961
428	720	958
429	721	956
430	722	953
431	723	951
432	724	948
433	725	946
434	727	944
435	728	942
436	730	940
437	732	940
438	733	937
439	734	935
440	736	933
441	737	930
442	738	928
443	739	926
444	741	924
445	742	922
446	743	919
447	744	917
448	747	916
449	748	914
450	749	912
451	750	909
452	751	907
453	752	904
454	753	902
455	754	900
456	756	898
457	757	895
458	758	893
459	759	891
460	760	888
461	762	888
